Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἡμισείας,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.10@ἡμισίας
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ΒΔΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.10@ΔΒΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.11@ἀπολείμματα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.11@ἀπολίμματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.12@βάσεις[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.12@βάσις[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.13@τραπεζίου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.13@τραπεζείου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14@ἐγγεγραμμένον[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.14@γεγραμμένον[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.14@ἐστὶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.14@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.15@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.15@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.1@τουτέστιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.1@τουτέστι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ΕΘ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.3@ΔΘ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.3@ΜΝΞ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.3@ΝΜΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@περιλείμματι[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.4@περιλήμματι[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.4@περιλείμματι[3],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.4@περιλίμματι[3]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@περιλείμματι[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.5@περιλήμματι[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.5@περιλείμματι[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.5@περιλήμματι[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.7@ΞΒ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.7@ΒΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.8@ὀρθῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.8@ὀρθὸν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.8@οὗ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.8@ὁ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.8@συμβάλλουσιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.8@συμβάλουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9@δὲ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.9@δὴ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9@δύνανται,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.9@δύναται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.9@δύναται,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.9@δύνανται
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.10@ἐστὶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.10@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.10@ἐστὶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.10@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.11@περιλελειμμένον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.11@περιλελιμμένον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.11@τὸ περιεχόμενον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.11@τοῦ περιεχομένου
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.11@περιλείμματα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.lemmata.11@περιλίμματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.12@τῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.12@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.12@τῶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.lemmata.12@τὸν
